INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET
I182025792,2647,Other,THREATS TO DO BODILY HARM,Roxbury,318,N,2018-04-07 03:20:00,2018,4,Saturday,3,Part Two,SEAVER ST
I182032574,3201,Property Lost,PROPERTY - LOST,South End,903,N,2018-04-17 11:03:00,2018,4,Tuesday,11,Part Three,KENDALL ST
I172044465,3207,Property Found,PROPERTY - FOUND,West Roxbury,691,N,2017-06-02 08:19:00,2017,6,Friday,8,Part Three,W BROADWAY
I152096572,1402,Vandalism,VANDALISM,Downtown,69,N,2015-11-20 22:00:00,2015,11,Friday,22,Part Two,BEACON ST
I162042228,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",Roxbury,329,Y,2016-05-29 22:19:00,2016,5,Sunday,22,Part One,DEVON ST
I152080561,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,Hyde Park,529,N,2015-09-24 14:20:00,2015,9,Thursday,14,Part Two,W MILTON ST
I182033974,802,Simple Assault,ASSAULT SIMPLE - BATTERY,Jamaica Plain,912,N,2018-05-05 14:19:00,2018,5,Saturday,14,Part Two,PARKER ST
I162095956,2905,Violations,VAL - OPERATING WITHOUT LICENSE,Hyde Park, ,N,2016-11-23 15:41:00,2016,11,Wednesday,15,Part Two,Not Specified
I172001957,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,Dorchester,241,N,2017-01-08 05:58:00,2017,1,Sunday,5,Part Three,SUMNER ST
I152051104,1402,Vandalism,VANDALISM,Roxbury,329,N,2015-06-20 12:28:00,2015,6,Saturday,12,Part Two,BISHOP JOE L SMITH WAY
I172090474,3301,Verbal Disputes,VERBAL DISPUTE,Roxbury,314,N,2017-10-29 16:52:00,2017,10,Sunday,16,Part Three,WAUMBECK ST
I182044957,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,Jamaica Plain,577,N,2018-03-09 00:00:00,2018,3,Friday,0,Part Two,WASHINGTON ST
I162053784,3201,Property Lost,PROPERTY - LOST,Hyde Park,520,N,2016-07-05 11:30:00,2016,7,Tuesday,11,Part Three,HYDE PARK AVE
I162058353,561,Other Burglary,BURGLARY - OTHER - ATTEMPT,Hyde Park,490,N,2016-07-21 16:30:00,2016,7,Thursday,16,Part One,CUMMINS HWY
I172062331,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Mattapan,444,N,2017-07-31 18:30:00,2017,7,Monday,18,Part Three,BLUE HILL AVE
I162013434,423,Aggravated Assault,ASSAULT - AGGRAVATED,Mattapan,441,Y,2016-02-20 03:30:00,2016,2,Saturday,3,Part One,WALES ST
I172006553,2204,Liquor Violation,LIQUOR LAW VIOLATION,South Boston,256,N,2017-01-21 23:30:00,2017,1,Saturday,23,Part Two,MOUNT VERNON ST
I182063254,3115,Investigate Person,INVESTIGATE PERSON,South Boston,189,N,2018-08-09 12:48:00,2018,8,Thursday,12,Part Three,DORCHESTER AVE
I162038737,3410,Towed,TOWED MOTOR VEHICLE,Dorchester,461,N,2016-05-17 19:00:00,2016,5,Tuesday,19,Part Three,ROSSETER ST
I172009541,3301,Verbal Disputes,VERBAL DISPUTE,Dorchester,366,N,2017-02-04 12:44:00,2017,2,Saturday,12,Part Three,MONSIGNOR PATRICK J. LYDO
I172092628,3502,Missing Person Located,MISSING PERSON - LOCATED,Roxbury,281,N,2017-11-05 16:30:00,2017,11,Sunday,16,Part Three,GREENVILLE ST
I172061893,3207,Property Found,PROPERTY - FOUND,South Boston,925,N,2017-07-30 10:37:00,2017,7,Sunday,10,Part Three,W NINTH ST
I162057714,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Roxbury,181,N,2016-07-20 05:04:00,2016,7,Wednesday,5,Part Three,GEORGE ST
I182030939,2610,Other,TRESPASSING,South Boston,174,N,2018-04-25 11:54:00,2018,4,Wednesday,11,Part Two,FRONTAGE RD
I152092426,2101,Operating Under the Influence,OPERATING UNDER THE INFLUENCE ALCOHOL,Dorchester,403,N,2015-11-07 03:15:00,2015,11,Saturday,3,Part Two,DORCHESTER AVE
I172104262,3125,Warrant Arrests,WARRANT ARREST,Roxbury,909,N,2017-12-17 19:00:00,2017,12,Sunday,19,Part Three,WHITTIER ST
I172004413,3115,Investigate Person,INVESTIGATE PERSON,Brighton,751,N,2017-01-17 14:01:00,2017,1,Tuesday,14,Part Three,UNDINE RD
I162030244,802,Simple Assault,ASSAULT SIMPLE - BATTERY,Roxbury,327,N,2016-04-19 07:50:00,2016,4,Tuesday,7,Part Two,CUNNINGHAM ST
I162023926,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,Downtown,112,N,2016-03-28 13:16:00,2016,3,Monday,13,Part Two,HAYWARD PL
I162064039,3830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,Jamaica Plain,634,N,2016-08-09 20:33:00,2016,8,Tuesday,20,Part Three,S HUNTINGTON AVE
I172006873,3114,Investigate Property,INVESTIGATE PROPERTY,South End,627,N,2017-01-26 05:12:00,2017,1,Thursday,5,Part Three,BOYLSTON ST
I172010034,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",Dorchester,248,N,2017-02-06 15:49:00,2017,2,Monday,15,Part Two,DORCHESTER AVE
I172028534,613,Larceny,LARCENY SHOPLIFTING,East Boston,27,N,2017-04-12 17:16:00,2017,4,Wednesday,17,Part One,MAVERICK SQ
I162054576,3115,Investigate Person,INVESTIGATE PERSON,Charlestown,39,N,2016-07-09 14:04:00,2016,7,Saturday,14,Part Three,CHARLES RIVER AVE
I172100143,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,Roxbury,302,N,2017-12-02 16:06:45,2017,12,Saturday,16,Part Three,COLUMBUS AVE
I172012771,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,South Boston,186,N,2017-02-13 20:30:00,2017,2,Monday,20,Part Three,ALLSTATE RD
I162088615,2629,Harassment,HARASSMENT,South Boston,936,N,2016-10-29 15:35:00,2016,10,Saturday,15,Part Two,CROWLEY-ROGERS WAY
I182024423,3207,Property Found,PROPERTY - FOUND,Roxbury,299,N,2018-04-02 10:47:00,2018,4,Monday,10,Part Three,CIRCUIT ST
I182046947,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Roxbury,239,N,2018-06-16 14:23:00,2018,6,Saturday,14,Part Three,BELDEN ST
I152054324,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Mattapan,427,Y,2015-07-01 13:59:00,2015,7,Wednesday,13,Part One,FESSENDEN ST
I172062455,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,South End,167,N,2017-07-31 18:00:00,2017,7,Monday,18,Part One,E CANTON ST
I162020244,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Roxbury,311,N,2016-03-15 15:11:00,2016,3,Tuesday,15,Part Three,BLUE HILL AVE
I152055351,3830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,Roxbury,324,N,2015-07-04 23:00:00,2015,7,Saturday,23,Part Three,SARGENT ST
I172008470,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,East Boston,34,N,2017-01-16 12:00:00,2017,1,Monday,12,Part Two,WEBSTER ST
I172046108,619,Larceny,LARCENY ALL OTHERS,Mattapan,565,N,2017-06-10 12:33:00,2017,6,Saturday,12,Part One,CATBIRD CT
I162016383,3207,Property Found,PROPERTY - FOUND,Brighton,778,N,2016-02-29 13:00:00,2016,2,Monday,13,Part Three,WASHINGTON ST
I162085252,617,Larceny,LARCENY THEFT FROM BUILDING,South End,165,N,2016-10-12 18:00:00,2016,10,Wednesday,18,Part One,HARRISON AVE
I172015421,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Jamaica Plain,363,N,2017-02-25 15:48:00,2017,2,Saturday,15,Part Three,CENTRE ST
I172094888,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",Brighton,794,N,2017-11-13 16:27:00,2017,11,Monday,16,Part Two,COMMONWEALTH AVE
I162068367,1402,Vandalism,VANDALISM,South End,179,N,2016-08-23 12:21:00,2016,8,Tuesday,12,Part Two,MASSACHUSETTS AVE
I172054543,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,South End, ,N,2017-07-06 13:50:00,2017,7,Thursday,13,Part Two,BELVIDERE ST
I172044367,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,South Boston, ,N,2017-06-04 19:29:00,2017,6,Sunday,19,Part Three,Not Specified
I162058298,301,Robbery,ROBBERY - STREET,Brighton,939,Y,2016-07-21 22:20:00,2016,7,Thursday,22,Part One,N BEACON ST
I172024299,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Mattapan,463,N,2017-03-22 21:00:00,2017,3,Wednesday,21,Part Three,BLUE HILL AVE
I172092214,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,Downtown, ,N,2017-11-04 04:12:00,2017,11,Saturday,4,Part Three,Not Specified
I152057567,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Roxbury,329,Y,2015-07-12 16:24:00,2015,7,Sunday,16,Part One,DEVON ST
I162025824,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,Dorchester,393,N,2016-02-22 15:09:00,2016,2,Monday,15,Part Three,DRACUT ST
I152094584,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Roxbury,604,N,2015-10-17 19:00:00,2015,10,Saturday,19,Part Three,DARLING ST
I172078655,3201,Property Lost,PROPERTY - LOST,Hyde Park,480,N,2017-09-02 17:19:00,2017,9,Saturday,17,Part Three,FAIRLAWN AVE
I152051010,2632,Evading Fare,EVADING FARE,Downtown,115,N,2015-06-19 23:50:00,2015,6,Friday,23,Part Two,KNEELAND ST
I172013996,616,Larceny,LARCENY THEFT OF BICYCLE,Mattapan,944,N,2017-02-19 00:00:00,2017,2,Sunday,0,Part One,STRATTON ST
I182008206,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Dorchester,337,N,2018-01-31 14:18:00,2018,1,Wednesday,14,Part Three,GENEVA AVE
I162074167,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,South End,624,N,2016-09-11 16:34:00,2016,9,Sunday,16,Part Two,BOYLSTON ST
I182011667,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,Brighton,757,N,2018-02-13 18:07:00,2018,2,Tuesday,18,Part Three,BROOKS ST
I182067535,3115,Investigate Person,INVESTIGATE PERSON,Dorchester,334,N,2018-08-23 13:49:00,2018,8,Thursday,13,Part Three,CAMERON ST
I162043950,3125,Warrant Arrests,WARRANT ARREST,Mattapan,446,N,2016-06-04 11:08:00,2016,6,Saturday,11,Part Three,ELMONT ST
I172089911,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",Roxbury,911,Y,2017-10-27 18:49:00,2017,10,Friday,18,Part Two,ANNUNCIATION RD
I162084941,2657,Other,VIOLATION - CITY ORDINANCE,Downtown,120,N,2016-10-17 08:40:00,2016,10,Monday,8,Part Two,BOYLSTON ST
I182049379,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",East Boston,26,N,2018-06-24 14:08:00,2018,6,Sunday,14,Part Two,CONDOR ST
I162031549,3501,Missing Person Reported,MISSING PERSON,Mattapan,476,N,2016-04-23 16:46:00,2016,4,Saturday,16,Part Three,BLUE HILL AVE
I162093877,802,Simple Assault,ASSAULT SIMPLE - BATTERY,Roxbury,291,N,2016-11-16 17:19:00,2016,11,Wednesday,17,Part Two,COLUMBUS AVE
I162040393,802,Simple Assault,ASSAULT SIMPLE - BATTERY,South Boston, ,N,2016-05-23 21:55:00,2016,5,Monday,21,Part Two,Not Specified
I172015551,2204,Liquor Violation,LIQUOR LAW VIOLATION,Roxbury,587,N,2017-02-26 02:50:00,2017,2,Sunday,2,Part Two,PARKER ST
I182019543,3115,Investigate Person,INVESTIGATE PERSON,Dorchester,370,N,2018-03-15 13:22:00,2018,3,Thursday,13,Part Three,WILLIAM T MORRISSEY BLVD
I172004317,724,Auto Theft,AUTO THEFT,Mattapan,413,N,2017-01-17 10:13:00,2017,1,Tuesday,10,Part One,OAKRIDGE ST
I162093213,3170,Other,INTIMIDATING WITNESS,Dorchester,359,Y,2016-11-14 14:57:00,2016,11,Monday,14,Part Three,WASHINGTON ST
I162014907,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,Roxbury,329,N,2016-02-25 13:11:00,2016,2,Thursday,13,Part Two,DEVON ST
I152105712,1107,Fraud,FRAUD - IMPERSONATION,South End,151,N,2015-12-23 08:56:00,2015,12,Wednesday,8,Part Two,APPLETON ST
I162011621,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,South End,134,N,2016-02-12 23:00:00,2016,2,Friday,23,Part Three,BOYLSTON ST
I172064089,3201,Property Lost,PROPERTY - LOST,Roxbury,911,N,2017-08-05 20:44:00,2017,8,Saturday,20,Part Three,ANNUNCIATION RD
I152063521,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,South Boston,215,N,2015-08-01 11:30:00,2015,8,Saturday,11,Part Three,BOWEN ST
I162032628,727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,South Boston,256,N,2016-04-25 05:30:00,2016,4,Monday,5,Part One,WILLIAM T MORRISSEY BLVD
I162047936,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,Dorchester,416,N,2016-06-16 22:22:00,2016,6,Thursday,22,Part Two,FULLER ST
I172021082,3115,Investigate Person,INVESTIGATE PERSON,South End, ,N,2017-03-18 04:58:00,2017,3,Saturday,4,Part Three,W CONCORD ST
I162020101,3410,Towed,TOWED MOTOR VEHICLE,Roxbury,267,N,2016-03-15 06:06:00,2016,3,Tuesday,6,Part Three,MOUNT PLEASANT AVE
I172091434,3410,Towed,TOWED MOTOR VEHICLE,Mattapan,450,N,2017-11-01 13:31:00,2017,11,Wednesday,13,Part Three,WHEATLAND AVE
I182044247,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,Dorchester,379,N,2018-06-08 04:00:00,2018,6,Friday,4,Part One,SARANAC ST
I162024269,3810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING  BICYCLE - INJURY,Roxbury,296,N,2016-03-29 15:44:00,2016,3,Tuesday,15,Part Three,WARREN ST
I162067346,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",Roxbury,238,Y,2016-08-20 00:05:00,2016,8,Saturday,0,Part One,DUDLEY TER
I172096554,619,Larceny,LARCENY ALL OTHERS,Roxbury,327,N,2017-11-17 11:00:00,2017,11,Friday,11,Part One,WAYLAND ST
I172051677,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,Brighton,779,N,2017-06-27 12:43:10,2017,6,Tuesday,12,Part Three,ARLINGTON ST
I152092261,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,Jamaica Plain,508,N,2015-11-05 11:00:00,2015,11,Thursday,11,Part Two,BLANVON RD
I162018971,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,South End, ,N,2016-03-11 01:57:00,2016,3,Friday,1,Part Three,Not Specified
I182026249,3201,Property Lost,PROPERTY - LOST,South Boston,256,N,2018-04-08 21:29:00,2018,4,Sunday,21,Part Three,WILLIAM T MORRISSEY BLVD
I152087875,3502,Missing Person Located,MISSING PERSON - LOCATED,Mattapan,446,N,2015-10-22 22:02:00,2015,10,Thursday,22,Part Three,ATHELWOLD ST
I162081462,3115,Investigate Person,INVESTIGATE PERSON,Hyde Park,555,N,2016-09-30 05:15:00,2016,9,Friday,5,Part Three,MAYNARD ST
I172037189,802,Simple Assault,ASSAULT SIMPLE - BATTERY,South End,624,N,2017-05-11 23:52:00,2017,5,Thursday,23,Part Two,LANSDOWNE ST
I172048204,3115,Investigate Person,INVESTIGATE PERSON,Dorchester,341,N,2017-06-16 14:16:00,2017,6,Friday,14,Part Three,SPEEDWELL ST
I162105400,3207,Property Found,PROPERTY - FOUND,South Boston,177,N,2016-12-27 21:45:00,2016,12,Tuesday,21,Part Three,NEW SUDBURY ST
I172070083,301,Robbery,ROBBERY - STREET,Roxbury,320,N,2017-08-24 16:22:00,2017,8,Thursday,16,Part One,ELM HILL AVE
I172009921,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,Roxbury, ,N,2017-02-06 07:00:00,2017,2,Monday,7,Part Three,Not Specified
I162074780,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,South End,620,N,2016-09-10 12:00:00,2016,9,Saturday,12,Part One,NORWAY ST
I172037770,3301,Verbal Disputes,VERBAL DISPUTE,Mattapan,434,N,2017-05-13 22:20:00,2017,5,Saturday,22,Part Three,NORFOLK ST
I152087906,3125,Warrant Arrests,WARRANT ARREST,Brighton,807,Y,2015-10-22 23:45:00,2015,10,Thursday,23,Part Three,TELFORD ST
I172000600,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Brighton,767,N,2017-01-03 10:32:00,2017,1,Tuesday,10,Part Three,SOLDIERS FIELD RD
I162044676,2405,Disorderly Conduct,DISORDERLY CONDUCT,Roxbury,281,N,2016-06-06 22:26:00,2016,6,Monday,22,Part Two,WARREN PL
I162096242,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Mattapan,468,N,2016-11-25 05:46:00,2016,11,Friday,5,Part Three,HAZLETON ST
I182048099,2647,Other,THREATS TO DO BODILY HARM,Mattapan,456,N,2018-06-20 09:05:00,2018,6,Wednesday,9,Part Two,ELLINGTON ST
I162072097,3114,Investigate Property,INVESTIGATE PROPERTY,Charlestown,55,N,2016-09-04 12:16:00,2016,9,Sunday,12,Part Three,GREEN ST
I172106089,2914,Violations,VAL - OPERATING W/O AUTHORIZATION LAWFUL,Downtown,540,N,2017-12-24 17:18:00,2017,12,Sunday,17,Part Two,CHARLES ST
I152095945,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",Roxbury,611,N,2015-11-19 08:47:00,2015,11,Thursday,8,Part Two,NEW WHITNEY ST
I162006651,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,Mattapan,465,N,2016-01-25 16:44:00,2016,1,Monday,16,Part Two,BLUE HILL AVE
I182022685,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,East Boston,26,N,2018-03-27 05:31:00,2018,3,Tuesday,5,Part Three,MERIDIAN ST
I162054539,3410,Towed,TOWED MOTOR VEHICLE,Downtown,79,N,2016-07-09 10:27:00,2016,7,Saturday,10,Part Three,N WASHINGTON ST
I182014018,613,Larceny,LARCENY SHOPLIFTING,South End,141,N,2018-02-22 11:51:00,2018,2,Thursday,11,Part One,NEWBURY ST
I172074335,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",Jamaica Plain,572,N,2017-09-07 23:08:00,2017,9,Thursday,23,Part Two,WASHINGTON ST
I152086928,724,Auto Theft,AUTO THEFT,Jamaica Plain,638,N,2015-10-19 18:56:00,2015,10,Monday,18,Part One,SAINT PETER ST
I182011622,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,South End,623,N,2018-02-08 00:00:00,2018,2,Thursday,0,Part One,NEWBURY ST
I152090710,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Mattapan,944,Y,2015-11-01 16:09:00,2015,11,Sunday,16,Part One,STRATTON ST
I172094509,3114,Investigate Property,INVESTIGATE PROPERTY,Roxbury,585,N,2017-11-11 23:48:00,2017,11,Saturday,23,Part Three,IROQUOIS ST
I152067338,2906,Violations,VAL - OPERATING UNREG/UNINS  CAR,South End,152,N,2015-08-14 17:30:00,2015,8,Friday,17,Part Two,TREMONT ST
I152059582,1402,Vandalism,VANDALISM,Downtown,94,N,2015-07-19 07:01:00,2015,7,Sunday,7,Part Two,STATE ST
I172078539,3410,Towed,TOWED MOTOR VEHICLE,South End,628,N,2017-09-21 10:30:00,2017,9,Thursday,10,Part Three,BROOKLINE AVE
I162058662,3115,Investigate Person,INVESTIGATE PERSON,Mattapan,468,N,2016-07-23 09:08:00,2016,7,Saturday,9,Part Three,BLUE HILL AVE
I182013775,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,South End,131,N,2018-02-05 13:00:00,2018,2,Monday,13,Part Two,BEACON ST
I182014041,3115,Investigate Person,INVESTIGATE PERSON,Jamaica Plain,510,N,2018-02-22 13:29:00,2018,2,Thursday,13,Part Three,TOWER ST
I182066473,616,Larceny,LARCENY THEFT OF BICYCLE,South End,170,N,2018-08-19 20:00:00,2018,8,Sunday,20,Part One,MASSACHUSETTS AVE
I182030152,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,South Boston,175,N,2018-04-22 17:45:00,2018,4,Sunday,17,Part Two,SOUTHAMPTON ST
I162053411,2629,Harassment,HARASSMENT,Dorchester,235,N,2016-07-05 08:30:00,2016,7,Tuesday,8,Part Two,CARSON ST
I162083452,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,South End,170,N,2016-10-11 09:15:00,2016,10,Tuesday,9,Part One,MASSACHUSETTS AVE
I162093473,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Mattapan,470,Y,2016-11-15 12:13:00,2016,11,Tuesday,12,Part One,ALABAMA ST
I172094080,3201,Property Lost,PROPERTY - LOST,Downtown,123,N,2017-11-10 13:00:00,2017,11,Friday,13,Part Three,WASHINGTON ST
I172055558,2660,Other,OTHER OFFENSE,Downtown,116,N,2017-07-10 02:34:00,2017,7,Monday,2,Part Two,EDINBORO ST
I152101071,3301,Verbal Disputes,VERBAL DISPUTE,Hyde Park,485,N,2015-12-07 15:05:00,2015,12,Monday,15,Part Three,CATON ST
I162087951,2647,Other,THREATS TO DO BODILY HARM,Brighton,812,N,2016-10-24 16:30:00,2016,10,Monday,16,Part Two,SOLDIERS FIELD RD
I172097847,3301,Verbal Disputes,VERBAL DISPUTE,Roxbury,308,N,2017-11-24 14:38:00,2017,11,Friday,14,Part Three,HAROLD PARK
I172075882,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Roxbury,261,Y,2017-09-12 21:16:00,2017,9,Tuesday,21,Part One,DUDLEY ST
I152054555,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,Charlestown,38,N,2015-06-30 19:30:00,2015,6,Tuesday,19,Part One,EIGHTH ST
I172009894,3301,Verbal Disputes,VERBAL DISPUTE,Mattapan,475,N,2017-02-06 00:09:00,2017,2,Monday,0,Part Three,CUMMINS HWY
I162015238,2401,Disorderly Conduct,AFFRAY,West Roxbury,729,N,2016-02-26 13:20:00,2016,2,Friday,13,Part Two,VFW PKWY
I172071318,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,Roxbury,258,N,2017-08-28 19:56:00,2017,8,Monday,19,Part Two,MONADNOCK ST
I152099580,1402,Vandalism,VANDALISM,East Boston,942,N,2015-12-02 15:22:00,2015,12,Wednesday,15,Part Two,VALLAR RD
I182000837,1402,Vandalism,VANDALISM,Downtown,116,N,2018-01-04 01:48:00,2018,1,Thursday,1,Part Two,ESSEX ST
I172009058,2405,Disorderly Conduct,DISORDERLY CONDUCT,Downtown,123,N,2017-02-02 16:05:00,2017,2,Thursday,16,Part Two,WASHINGTON ST
I152053302,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Mattapan,448,Y,2015-06-27 19:38:00,2015,6,Saturday,19,Part One,SPENCER ST
I152088959,617,Larceny,LARCENY THEFT FROM BUILDING,South Boston,256,N,2015-10-21 16:00:00,2015,10,Wednesday,16,Part One,WILLIAM T MORRISSEY BLVD
I162032210,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,Dorchester,817,N,2016-03-11 00:00:00,2016,3,Friday,0,Part Two,WELLES AVE
I162053829,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,Downtown,77,N,2016-07-06 17:00:00,2016,7,Wednesday,17,Part Two,CONGRESS ST
I182069298,3114,Investigate Property,INVESTIGATE PROPERTY,West Roxbury,731,N,2018-08-29 11:59:00,2018,8,Wednesday,11,Part Three,CHESBROUGH RD
I172067742,3410,Towed,TOWED MOTOR VEHICLE,South End,145,N,2017-08-17 09:18:00,2017,8,Thursday,9,Part Three,SAINT BOTOLPH ST
I162042649,1107,Fraud,FRAUD - IMPERSONATION,West Roxbury,685,N,2016-02-03 09:00:00,2016,2,Wednesday,9,Part Two,LENISTON ST
I182059623,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,Roxbury,587,N,2018-07-28 15:49:00,2018,7,Saturday,15,Part One,PARKER ST
I162033616,3501,Missing Person Reported,MISSING PERSON,Mattapan,444,N,2016-04-30 14:00:00,2016,4,Saturday,14,Part Three,BRADSHAW ST
I172100800,2010,HOME INVASION,HOME INVASION,Hyde Park,519,N,2017-12-04 21:50:00,2017,12,Monday,21,Part One,EVERETT ST
I152102893,3115,Investigate Person,INVESTIGATE PERSON,Roxbury,261,N,2015-12-12 15:30:00,2015,12,Saturday,15,Part Three,W COTTAGE ST
I172039229,2647,Other,THREATS TO DO BODILY HARM,East Boston,30,N,2017-05-18 16:51:00,2017,5,Thursday,16,Part Two,COTTAGE ST
I172046647,1402,Vandalism,VANDALISM,Roxbury,311,N,2017-06-12 07:31:00,2017,6,Monday,7,Part Two,CLIFFORD ST
I182037657,1510,Firearm Violations,WEAPON - FIREARM - OTHER VIOLATION,Dorchester,338,Y,2018-05-17 21:24:00,2018,5,Thursday,21,Part Two,WINTER ST
I172012543,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,Roxbury, ,N,2017-02-15 19:50:00,2017,2,Wednesday,19,Part Three,Not Specified
I172064463,670,License Plate Related Incidents,RECOVERED STOLEN PLATE,West Roxbury,720,N,2017-08-06 21:00:00,2017,8,Sunday,21,Other,TEMPLE ST
I152068455,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,Brighton,799,N,2015-08-18 18:20:00,2015,8,Tuesday,18,Part Two,BRIGHTON AVE
I172105012,3502,Missing Person Located,MISSING PERSON - LOCATED,Mattapan,435,N,2017-12-20 11:33:00,2017,12,Wednesday,11,Part Three,ARMANDINE ST
I182030030,3116,Harbor Related Incidents,HARBOR INCIDENT / VIOLATION,South Boston,206,N,2018-04-22 07:26:00,2018,4,Sunday,7,Part Three,CONGRESS ST
I162008906,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Dorchester,402,N,2016-02-02 13:16:00,2016,2,Tuesday,13,Part Three,ASHMONT ST
I172008427,2647,Other,THREATS TO DO BODILY HARM,Dorchester,368,N,2017-01-14 09:00:00,2017,1,Saturday,9,Part Two,QUEEN ST
I182063766,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,Roxbury,289,N,2018-08-10 21:40:00,2018,8,Friday,21,Part Two,TREMONT ST
I152057685,423,Aggravated Assault,ASSAULT - AGGRAVATED,Roxbury,281,Y,2015-07-13 00:33:00,2015,7,Monday,0,Part One,DUDLEY ST
I172100937,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,Roxbury,288,N,2017-12-05 14:07:00,2017,12,Tuesday,14,Part Two,WASHINGTON ST
